                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15048
Model Family:                Binomial   Df Model:                          123
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3253.4
Date:                Sun, 17 Mar 2024   Deviance:                       6506.7
Time:                        19:20:00   Pearson chi2:                 1.46e+04
No. Iterations:                   100   Pseudo R-squ. (CS):            0.04606
Covariance Type:            nonrobust                                         
=================================================================================
                    coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------
Intercept        -3.2350      0.061    -52.944      0.000      -3.355      -3.115
SQ_RET_LAG1    8.673e+04   1.25e+04      6.940      0.000    6.22e+04    1.11e+05
SQ_RET_LAG10   2.079e+04   9770.011      2.128      0.033    1641.583    3.99e+04
SQ_RET_LAG100  1.979e+04   1.21e+04      1.636      0.102   -3912.550    4.35e+04
SQ_RET_LAG101  1152.0340   1.19e+04      0.096      0.923   -2.23e+04    2.46e+04
SQ_RET_LAG102   2.04e+04   1.19e+04      1.719      0.086   -2864.182    4.37e+04
SQ_RET_LAG103  1.303e+04    1.2e+04      1.087      0.277   -1.05e+04    3.65e+04
SQ_RET_LAG104 -4258.2862   1.34e+04     -0.318      0.750   -3.05e+04    2.19e+04
SQ_RET_LAG105 -5633.0392   1.62e+04     -0.349      0.727   -3.73e+04     2.6e+04
SQ_RET_LAG106 -1.639e+04   1.59e+04     -1.034      0.301   -4.75e+04    1.47e+04
SQ_RET_LAG107  1.109e+04   1.27e+04      0.871      0.384   -1.39e+04     3.6e+04
SQ_RET_LAG108  2535.4095   1.26e+04      0.201      0.840   -2.21e+04    2.72e+04
SQ_RET_LAG109 -1859.5265   1.34e+04     -0.139      0.890   -2.81e+04    2.44e+04
SQ_RET_LAG11   7860.6848   1.01e+04      0.777      0.437    -1.2e+04    2.77e+04
SQ_RET_LAG110  7743.5324   1.17e+04      0.661      0.508   -1.52e+04    3.07e+04
SQ_RET_LAG111  2.057e+04   1.18e+04      1.750      0.080   -2463.718    4.36e+04
SQ_RET_LAG112 -2721.4025   1.32e+04     -0.206      0.837   -2.86e+04    2.32e+04
SQ_RET_LAG113  8622.5071   1.19e+04      0.727      0.467   -1.46e+04    3.19e+04
SQ_RET_LAG114  1.061e+04   1.26e+04      0.845      0.398    -1.4e+04    3.52e+04
SQ_RET_LAG115 -5534.8766   1.38e+04     -0.402      0.687   -3.25e+04    2.14e+04
SQ_RET_LAG116  -232.2758   1.33e+04     -0.017      0.986   -2.63e+04    2.58e+04
SQ_RET_LAG117  1.032e+04    1.2e+04      0.862      0.388   -1.31e+04    3.38e+04
SQ_RET_LAG118  2.355e+04   1.19e+04      1.971      0.049     133.077     4.7e+04
SQ_RET_LAG119 -1.577e+04   1.57e+04     -1.006      0.314   -4.65e+04    1.49e+04
SQ_RET_LAG12   9850.5986      1e+04      0.983      0.325   -9780.737    2.95e+04
SQ_RET_LAG120  4140.1681   1.41e+04      0.294      0.769   -2.34e+04    3.17e+04
SQ_RET_LAG13   5096.8205   1.01e+04      0.502      0.615   -1.48e+04     2.5e+04
SQ_RET_LAG14   1.263e+04   9847.347      1.283      0.200   -6671.138    3.19e+04
SQ_RET_LAG15   2.387e+04   9629.979      2.478      0.013    4990.749    4.27e+04
SQ_RET_LAG16  -7507.3472   1.04e+04     -0.721      0.471   -2.79e+04    1.29e+04
SQ_RET_LAG17   1.142e+04   1.07e+04      1.063      0.288   -9640.618    3.25e+04
SQ_RET_LAG18   7166.5229   1.02e+04      0.699      0.484   -1.29e+04    2.73e+04
SQ_RET_LAG19   1.238e+04   9995.703      1.239      0.216   -7211.087     3.2e+04
SQ_RET_LAG2   -1.934e+04   1.29e+04     -1.499      0.134   -4.46e+04    5949.465
SQ_RET_LAG20  -1516.1539   1.04e+04     -0.146      0.884   -2.19e+04    1.88e+04
SQ_RET_LAG21   1.892e+04   9890.320      1.913      0.056    -463.624    3.83e+04
SQ_RET_LAG22   1712.4321   1.08e+04      0.159      0.874   -1.94e+04    2.29e+04
SQ_RET_LAG23   1.052e+04   1.05e+04      1.001      0.317   -1.01e+04    3.11e+04
SQ_RET_LAG24  -4989.1115   1.18e+04     -0.422      0.673   -2.82e+04    1.82e+04
SQ_RET_LAG25   1.299e+04   1.06e+04      1.231      0.218   -7689.619    3.37e+04
SQ_RET_LAG26   1.313e+04   1.01e+04      1.293      0.196   -6764.529     3.3e+04
SQ_RET_LAG27   1.234e+04   1.03e+04      1.198      0.231   -7855.133    3.25e+04
SQ_RET_LAG28   -143.1463    1.1e+04     -0.013      0.990   -2.17e+04    2.14e+04
SQ_RET_LAG29   1.315e+04   1.03e+04      1.276      0.202   -7049.378    3.33e+04
SQ_RET_LAG3    3.569e+04   1.02e+04      3.496      0.000    1.57e+04    5.57e+04
SQ_RET_LAG30   -207.2237   1.12e+04     -0.018      0.985   -2.22e+04    2.18e+04
SQ_RET_LAG31   9722.8612   1.14e+04      0.853      0.394   -1.26e+04    3.21e+04
SQ_RET_LAG32   8575.1513   1.09e+04      0.786      0.432   -1.28e+04       3e+04
SQ_RET_LAG33   4751.3399    1.2e+04      0.396      0.692   -1.88e+04    2.83e+04
SQ_RET_LAG34   -1.22e+04   1.64e+04     -0.744      0.457   -4.43e+04    1.99e+04
SQ_RET_LAG35   -1.49e+04   1.36e+04     -1.092      0.275   -4.16e+04    1.19e+04
SQ_RET_LAG36   3.219e+04   1.06e+04      3.051      0.002    1.15e+04    5.29e+04
SQ_RET_LAG37  -1.709e+04   1.31e+04     -1.301      0.193   -4.28e+04    8656.011
SQ_RET_LAG38   3.654e+04   1.05e+04      3.471      0.001    1.59e+04    5.72e+04
SQ_RET_LAG39  -1.559e+04   1.35e+04     -1.151      0.250   -4.21e+04     1.1e+04
SQ_RET_LAG4      1.4e+04   1.01e+04      1.388      0.165   -5769.254    3.38e+04
SQ_RET_LAG40   1.195e+04   1.15e+04      1.037      0.300   -1.06e+04    3.45e+04
SQ_RET_LAG41   3906.2389   1.08e+04      0.363      0.717   -1.72e+04     2.5e+04
SQ_RET_LAG42   1.149e+04   1.11e+04      1.038      0.299   -1.02e+04    3.32e+04
SQ_RET_LAG43   2291.5350   1.12e+04      0.204      0.838   -1.97e+04    2.43e+04
SQ_RET_LAG44   9441.9841   1.08e+04      0.875      0.382   -1.17e+04    3.06e+04
SQ_RET_LAG45   6849.6484   1.18e+04      0.578      0.563   -1.64e+04    3.01e+04
SQ_RET_LAG46  -5278.9546   1.21e+04     -0.437      0.662    -2.9e+04    1.84e+04
SQ_RET_LAG47   2.358e+04   1.01e+04      2.331      0.020    3754.722    4.34e+04
SQ_RET_LAG48   1127.1601   1.06e+04      0.106      0.915   -1.96e+04    2.19e+04
SQ_RET_LAG49    1.98e+04    1.1e+04      1.798      0.072   -1786.083    4.14e+04
SQ_RET_LAG5    5570.8668   1.02e+04      0.547      0.585   -1.44e+04    2.55e+04
SQ_RET_LAG50  -2.098e+04   1.58e+04     -1.329      0.184   -5.19e+04    9960.627
SQ_RET_LAG51   1.651e+04   1.26e+04      1.307      0.191   -8240.870    4.13e+04
SQ_RET_LAG52  -3.116e+04   1.64e+04     -1.905      0.057   -6.32e+04     901.008
SQ_RET_LAG53   2.519e+04   1.06e+04      2.383      0.017    4474.691    4.59e+04
SQ_RET_LAG54   2867.1003   1.13e+04      0.253      0.800   -1.94e+04    2.51e+04
SQ_RET_LAG55   7475.9061   1.12e+04      0.669      0.503   -1.44e+04    2.94e+04
SQ_RET_LAG56   6454.0643    1.1e+04      0.586      0.558   -1.51e+04     2.8e+04
SQ_RET_LAG57    632.5956   1.07e+04      0.059      0.953   -2.04e+04    2.17e+04
SQ_RET_LAG58   1.604e+04   1.01e+04      1.591      0.112   -3716.676    3.58e+04
SQ_RET_LAG59   1.019e+04   1.02e+04      0.998      0.318   -9817.842    3.02e+04
SQ_RET_LAG6    1.188e+04   9416.138      1.262      0.207   -6571.873    3.03e+04
SQ_RET_LAG60   1.189e+04   1.13e+04      1.049      0.294   -1.03e+04    3.41e+04
SQ_RET_LAG61  -1.174e+04   1.33e+04     -0.882      0.378   -3.78e+04    1.44e+04
SQ_RET_LAG62    1.54e+04   1.03e+04      1.499      0.134   -4738.845    3.55e+04
SQ_RET_LAG63   -914.2709   1.02e+04     -0.090      0.929   -2.09e+04    1.91e+04
SQ_RET_LAG64   1.358e+04      1e+04      1.356      0.175   -6053.882    3.32e+04
SQ_RET_LAG65  -1536.5364   1.13e+04     -0.136      0.892   -2.36e+04    2.05e+04
SQ_RET_LAG66   7171.8477      1e+04      0.716      0.474   -1.25e+04    2.68e+04
SQ_RET_LAG67   1.509e+04   9836.010      1.534      0.125   -4191.357    3.44e+04
SQ_RET_LAG68  -2716.6148   1.17e+04     -0.233      0.816   -2.56e+04    2.01e+04
SQ_RET_LAG69  -1.666e+04   1.59e+04     -1.045      0.296   -4.79e+04    1.46e+04
SQ_RET_LAG7    8045.2850   1.02e+04      0.790      0.429   -1.19e+04     2.8e+04
SQ_RET_LAG70   1358.8777   1.25e+04      0.109      0.914   -2.32e+04    2.59e+04
SQ_RET_LAG71   4199.6431   1.05e+04      0.398      0.690   -1.65e+04    2.49e+04
SQ_RET_LAG72   1.084e+04   9732.956      1.114      0.265   -8231.648    2.99e+04
SQ_RET_LAG73   2752.2126   9785.408      0.281      0.779   -1.64e+04    2.19e+04
SQ_RET_LAG74   2.166e+04   1.07e+04      2.017      0.044     613.949    4.27e+04
SQ_RET_LAG75  -2.609e+04   1.74e+04     -1.497      0.134   -6.02e+04    8072.876
SQ_RET_LAG76  -5720.7403   1.61e+04     -0.355      0.723   -3.73e+04    2.59e+04
SQ_RET_LAG77  -9452.4987   1.35e+04     -0.702      0.483   -3.58e+04    1.69e+04
SQ_RET_LAG78   1.086e+04   1.07e+04      1.018      0.309   -1.01e+04    3.18e+04
SQ_RET_LAG79   6282.6382   1.02e+04      0.614      0.539   -1.38e+04    2.63e+04
SQ_RET_LAG8    1.397e+04      1e+04      1.395      0.163   -5664.623    3.36e+04
SQ_RET_LAG80   6399.4917   1.12e+04      0.574      0.566   -1.55e+04    2.83e+04
SQ_RET_LAG81  -7031.3820   1.42e+04     -0.494      0.621   -3.49e+04    2.09e+04
SQ_RET_LAG82  -1589.9570   1.31e+04     -0.121      0.903   -2.73e+04    2.41e+04
SQ_RET_LAG83   3208.5899   1.12e+04      0.286      0.775   -1.88e+04    2.52e+04
SQ_RET_LAG84   6400.1476   1.02e+04      0.625      0.532   -1.37e+04    2.65e+04
SQ_RET_LAG85   1.316e+04   9835.555      1.338      0.181   -6117.856    3.24e+04
SQ_RET_LAG86  -2548.4593   1.05e+04     -0.244      0.808    -2.3e+04     1.8e+04
SQ_RET_LAG87   1.847e+04   1.07e+04      1.720      0.085   -2580.825    3.95e+04
SQ_RET_LAG88   -1.61e+04   1.41e+04     -1.142      0.253   -4.37e+04    1.15e+04
SQ_RET_LAG89   9066.0334   1.22e+04      0.743      0.457   -1.48e+04     3.3e+04
