                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15081
Model Family:                Binomial   Df Model:                           90
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3237.0
Date:                Sun, 17 Mar 2024   Deviance:                       6474.0
Time:                        18:47:10   Pearson chi2:                 1.45e+04
No. Iterations:                     6   Pseudo R-squ. (CS):            0.04811
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.5064      0.054    -64.975      0.000      -3.612      -3.401
RET_LAG1       193.7714     43.697      4.434      0.000     108.127     279.416
RET_LAG10       60.1954     46.385      1.298      0.194     -30.718     151.109
RET_LAG11      129.1505     48.952      2.638      0.008      33.207     225.094
RET_LAG12       22.3233     46.963      0.475      0.635     -69.722     114.369
RET_LAG13      122.7253     50.260      2.442      0.015      24.217     221.234
RET_LAG14       47.7374     45.937      1.039      0.299     -42.298     137.773
RET_LAG15       24.4647     46.617      0.525      0.600     -66.903     115.832
RET_LAG16       26.3124     50.255      0.524      0.601     -72.186     124.810
RET_LAG17      -35.2095     48.571     -0.725      0.469    -130.408      59.989
RET_LAG18      105.4484     49.341      2.137      0.033       8.742     202.155
RET_LAG19      103.0253     48.538      2.123      0.034       7.893     198.157
RET_LAG2        -0.6246     50.072     -0.012      0.990     -98.764      97.515
RET_LAG20       15.5096     48.427      0.320      0.749     -79.405     110.424
RET_LAG21       25.5458     46.852      0.545      0.586     -66.283     117.374
RET_LAG22        1.0477     48.393      0.022      0.983     -93.800      95.896
RET_LAG23       51.1926     47.519      1.077      0.281     -41.943     144.328
RET_LAG24       45.8498     50.772      0.903      0.367     -53.662     145.362
RET_LAG25       41.9219     47.257      0.887      0.375     -50.699     134.543
RET_LAG26       47.9154     46.688      1.026      0.305     -43.591     139.422
RET_LAG27       16.2233     47.259      0.343      0.731     -76.402     108.848
RET_LAG28      103.2317     49.641      2.080      0.038       5.936     200.527
RET_LAG29       23.6013     48.225      0.489      0.625     -70.918     118.121
RET_LAG3       158.6372     45.273      3.504      0.000      69.903     247.371
RET_LAG30       72.3061     49.749      1.453      0.146     -25.201     169.813
RET_LAG4       148.2197     46.639      3.178      0.001      56.809     239.630
RET_LAG5        68.1471     47.496      1.435      0.151     -24.944     161.238
RET_LAG6       123.4779     46.141      2.676      0.007      33.044     213.912
RET_LAG7       -54.7166     46.894     -1.167      0.243    -146.627      37.194
RET_LAG8        17.1755     47.324      0.363      0.717     -75.578     109.929
RET_LAG9        81.6574     46.537      1.755      0.079      -9.554     172.868
SQ_RET_LAG1   7.086e+04   1.07e+04      6.625      0.000    4.99e+04    9.18e+04
SQ_RET_LAG10  1.048e+04   1.05e+04      0.997      0.319   -1.01e+04    3.11e+04
SQ_RET_LAG11 -9103.9883   1.24e+04     -0.732      0.464   -3.35e+04    1.53e+04
SQ_RET_LAG12  1.036e+04   1.17e+04      0.886      0.376   -1.26e+04    3.33e+04
SQ_RET_LAG13 -1.251e+04   1.34e+04     -0.936      0.349   -3.87e+04    1.37e+04
SQ_RET_LAG14  5654.5553   1.06e+04      0.534      0.593   -1.51e+04    2.64e+04
SQ_RET_LAG15  1.311e+04   1.07e+04      1.220      0.223   -7956.501    3.42e+04
SQ_RET_LAG16  -1.96e+04   1.39e+04     -1.409      0.159   -4.69e+04    7669.669
SQ_RET_LAG17   520.2655   1.29e+04      0.040      0.968   -2.48e+04    2.59e+04
SQ_RET_LAG18 -7747.4044   1.28e+04     -0.607      0.544   -3.28e+04    1.73e+04
SQ_RET_LAG19  2971.1542   1.28e+04      0.231      0.817   -2.22e+04    2.81e+04
SQ_RET_LAG2  -2.785e+04   1.26e+04     -2.207      0.027   -5.26e+04   -3121.323
SQ_RET_LAG20 -8258.7247   1.19e+04     -0.692      0.489   -3.17e+04    1.51e+04
SQ_RET_LAG21  1.575e+04    1.1e+04      1.429      0.153   -5845.328    3.73e+04
SQ_RET_LAG22 -1.003e+04   1.19e+04     -0.841      0.400   -3.34e+04    1.33e+04
SQ_RET_LAG23   1.21e+04   1.15e+04      1.048      0.295   -1.05e+04    3.47e+04
SQ_RET_LAG24 -1.267e+04   1.41e+04     -0.896      0.370   -4.04e+04     1.5e+04
SQ_RET_LAG25  3475.4475    1.1e+04      0.315      0.753   -1.81e+04    2.51e+04
SQ_RET_LAG26  8505.4507   1.05e+04      0.808      0.419   -1.21e+04    2.91e+04
SQ_RET_LAG27  1867.5106   1.08e+04      0.173      0.862   -1.92e+04     2.3e+04
SQ_RET_LAG28 -2868.4397   1.26e+04     -0.228      0.819   -2.75e+04    2.18e+04
SQ_RET_LAG29  2361.7548   1.22e+04      0.194      0.847   -2.16e+04    2.63e+04
SQ_RET_LAG3   1.825e+04   1.03e+04      1.775      0.076   -1900.549    3.84e+04
SQ_RET_LAG30 -9338.5100   1.32e+04     -0.706      0.480   -3.53e+04    1.66e+04
SQ_RET_LAG4   8081.3869   1.09e+04      0.740      0.459   -1.33e+04    2.95e+04
SQ_RET_LAG5    266.1006   1.12e+04      0.024      0.981   -2.17e+04    2.22e+04
SQ_RET_LAG6   6468.7182   1.06e+04      0.609      0.542   -1.43e+04    2.73e+04
SQ_RET_LAG7   9293.7356   1.06e+04      0.877      0.381   -1.15e+04    3.01e+04
SQ_RET_LAG8  -2125.7059   1.08e+04     -0.196      0.844   -2.33e+04    1.91e+04
SQ_RET_LAG9   3671.2858   1.05e+04      0.348      0.728    -1.7e+04    2.43e+04
VIOL_LAG1        0.6048      0.143      4.227      0.000       0.324       0.885
VIOL_LAG10       0.3351      0.147      2.273      0.023       0.046       0.624
VIOL_LAG11       0.6008      0.150      4.004      0.000       0.307       0.895
VIOL_LAG12       0.2222      0.149      1.487      0.137      -0.071       0.515
VIOL_LAG13       0.6293      0.152      4.145      0.000       0.332       0.927
VIOL_LAG14       0.0939      0.151      0.624      0.533      -0.201       0.389
VIOL_LAG15       0.3814      0.147      2.603      0.009       0.094       0.669
VIOL_LAG16       0.2009      0.158      1.273      0.203      -0.109       0.510
VIOL_LAG17      -0.0532      0.155     -0.343      0.731      -0.357       0.251
VIOL_LAG18       0.3745      0.156      2.405      0.016       0.069       0.680
VIOL_LAG19       0.2596      0.158      1.648      0.099      -0.049       0.568
VIOL_LAG2        0.3520      0.148      2.382      0.017       0.062       0.642
VIOL_LAG20       0.2654      0.150      1.773      0.076      -0.028       0.559
VIOL_LAG21       0.1122      0.155      0.722      0.470      -0.193       0.417
VIOL_LAG22       0.1283      0.154      0.834      0.404      -0.173       0.430
VIOL_LAG23      -0.0001      0.162     -0.001      0.999      -0.317       0.317
VIOL_LAG24       0.0517      0.164      0.315      0.753      -0.270       0.373
