                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15094
Model Family:                Binomial   Df Model:                           77
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3277.5
Date:                Sun, 24 Mar 2024   Deviance:                       6554.9
Time:                        21:00:39   Pearson chi2:                 1.44e+04
No. Iterations:                    30   Pseudo R-squ. (CS):            0.04303
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.4101      0.053    -64.395      0.000      -3.514      -3.306
SQ_RET_LAG1   7.302e+04   1.16e+04      6.295      0.000    5.03e+04    9.58e+04
SQ_RET_LAG10  1.136e+04      1e+04      1.133      0.257   -8286.792     3.1e+04
SQ_RET_LAG11 -4056.8535    1.1e+04     -0.367      0.714   -2.57e+04    1.76e+04
SQ_RET_LAG12  6542.1393   1.13e+04      0.579      0.562   -1.56e+04    2.87e+04
SQ_RET_LAG13 -4354.0698   1.18e+04     -0.368      0.713   -2.75e+04    1.88e+04
SQ_RET_LAG14  3977.8907   1.03e+04      0.387      0.699   -1.62e+04    2.41e+04
SQ_RET_LAG15  1.337e+04   1.02e+04      1.306      0.192   -6700.609    3.35e+04
SQ_RET_LAG16 -1.597e+04   1.22e+04     -1.310      0.190   -3.99e+04    7925.713
SQ_RET_LAG17  5542.5292   1.24e+04      0.446      0.656   -1.88e+04    2.99e+04
SQ_RET_LAG18  -316.1988   1.08e+04     -0.029      0.977   -2.16e+04    2.09e+04
SQ_RET_LAG19  8692.5451   1.08e+04      0.806      0.420   -1.24e+04    2.98e+04
SQ_RET_LAG2  -3.478e+04   1.49e+04     -2.332      0.020    -6.4e+04   -5546.410
SQ_RET_LAG20 -8998.0805   1.16e+04     -0.779      0.436   -3.17e+04    1.37e+04
SQ_RET_LAG21  1.737e+04   1.02e+04      1.700      0.089   -2655.711    3.74e+04
SQ_RET_LAG22 -9897.3117   1.17e+04     -0.849      0.396   -3.27e+04    1.29e+04
SQ_RET_LAG23  1.405e+04    1.1e+04      1.276      0.202   -7530.631    3.56e+04
SQ_RET_LAG24 -9756.5130   1.33e+04     -0.735      0.462   -3.58e+04    1.63e+04
SQ_RET_LAG25  5834.3441   1.08e+04      0.542      0.588   -1.53e+04    2.69e+04
SQ_RET_LAG26  8783.7964   9911.511      0.886      0.375   -1.06e+04    2.82e+04
SQ_RET_LAG27  3860.9882   1.01e+04      0.381      0.703    -1.6e+04    2.37e+04
SQ_RET_LAG28  3013.8260   1.08e+04      0.278      0.781   -1.82e+04    2.43e+04
SQ_RET_LAG29  4718.3017   1.13e+04      0.417      0.677   -1.75e+04    2.69e+04
SQ_RET_LAG3   2.514e+04   1.02e+04      2.460      0.014    5107.377    4.52e+04
