                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15051
Model Family:                Binomial   Df Model:                          120
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3240.4
Date:                Sun, 24 Mar 2024   Deviance:                       6480.7
Time:                        20:55:26   Pearson chi2:                 1.44e+04
No. Iterations:                     6   Pseudo R-squ. (CS):            0.04770
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.4683      0.053    -65.142      0.000      -3.573      -3.364
SQ_RET_LAG1   7.408e+04   1.18e+04      6.289      0.000     5.1e+04    9.72e+04
SQ_RET_LAG10  1.259e+04   9818.429      1.283      0.200   -6649.463    3.18e+04
SQ_RET_LAG11 -3308.2666   1.07e+04     -0.309      0.757   -2.43e+04    1.77e+04
SQ_RET_LAG12  8960.6184   1.08e+04      0.827      0.408   -1.23e+04    3.02e+04
SQ_RET_LAG13 -4912.5437   1.15e+04     -0.426      0.670   -2.75e+04    1.77e+04
SQ_RET_LAG14  7402.8017   1.01e+04      0.731      0.465   -1.24e+04    2.73e+04
SQ_RET_LAG15  1.147e+04   1.01e+04      1.134      0.257   -8344.849    3.13e+04
SQ_RET_LAG16 -9856.1268   1.18e+04     -0.833      0.405    -3.3e+04    1.33e+04
SQ_RET_LAG17   663.0625   1.27e+04      0.052      0.958   -2.42e+04    2.55e+04
SQ_RET_LAG18  3739.5710   1.07e+04      0.350      0.726   -1.72e+04    2.47e+04
SQ_RET_LAG19  7614.8682   1.06e+04      0.719      0.472   -1.32e+04    2.84e+04
SQ_RET_LAG2  -3.223e+04   1.52e+04     -2.124      0.034    -6.2e+04   -2491.308
SQ_RET_LAG20 -4038.9849   1.11e+04     -0.363      0.716   -2.58e+04    1.78e+04
SQ_RET_LAG21  1.326e+04   1.04e+04      1.274      0.203   -7138.319    3.37e+04
SQ_RET_LAG22 -6178.8234   1.19e+04     -0.519      0.604   -2.95e+04    1.71e+04
SQ_RET_LAG23  9493.2563   1.19e+04      0.799      0.424   -1.38e+04    3.28e+04
SQ_RET_LAG24 -7851.0437   1.38e+04     -0.568      0.570   -3.49e+04    1.92e+04
SQ_RET_LAG25  3724.4876   1.09e+04      0.340      0.734   -1.77e+04    2.52e+04
SQ_RET_LAG26  1.126e+04      1e+04      1.123      0.261   -8394.675    3.09e+04
SQ_RET_LAG27  3095.6304   1.04e+04      0.299      0.765   -1.72e+04    2.34e+04
SQ_RET_LAG28  2638.5750   1.14e+04      0.232      0.817   -1.97e+04    2.49e+04
SQ_RET_LAG29  5564.1787   1.15e+04      0.484      0.628    -1.7e+04    2.81e+04
SQ_RET_LAG3   2.742e+04   1.03e+04      2.660      0.008    7214.213    4.76e+04
SQ_RET_LAG30 -3651.8731   1.32e+04     -0.277      0.782   -2.95e+04    2.22e+04
SQ_RET_LAG31 -5286.0938   1.34e+04     -0.393      0.694   -3.16e+04    2.11e+04
SQ_RET_LAG32  1.046e+04    1.2e+04      0.869      0.385   -1.31e+04    3.41e+04
SQ_RET_LAG33 -6431.9786   1.39e+04     -0.463      0.643   -3.37e+04    2.08e+04
SQ_RET_LAG34 -4.223e+04   2.04e+04     -2.070      0.038   -8.22e+04   -2243.879
SQ_RET_LAG35  -2.87e+04   1.58e+04     -1.822      0.068   -5.96e+04    2175.975
SQ_RET_LAG36  3.464e+04   1.16e+04      2.980      0.003    1.19e+04    5.74e+04
SQ_RET_LAG37 -3.494e+04   1.49e+04     -2.350      0.019   -6.41e+04   -5799.342
SQ_RET_LAG38  4.007e+04   1.17e+04      3.413      0.001    1.71e+04    6.31e+04
SQ_RET_LAG39 -2.937e+04   1.49e+04     -1.968      0.049   -5.86e+04    -113.055
SQ_RET_LAG4   7852.2030   1.01e+04      0.776      0.438    -1.2e+04    2.77e+04
SQ_RET_LAG40  9111.1432   1.26e+04      0.720      0.471   -1.57e+04    3.39e+04
SQ_RET_LAG41  2698.9343   1.19e+04      0.226      0.821   -2.07e+04    2.61e+04
SQ_RET_LAG42   203.9030   1.33e+04      0.015      0.988   -2.58e+04    2.63e+04
SQ_RET_LAG43 -2976.2396   1.27e+04     -0.235      0.815   -2.78e+04    2.19e+04
SQ_RET_LAG44  6695.8632   1.19e+04      0.564      0.573   -1.66e+04       3e+04
SQ_RET_LAG45  1500.1195   1.29e+04      0.116      0.907   -2.38e+04    2.68e+04
SQ_RET_LAG46 -2.019e+04   1.62e+04     -1.249      0.212   -5.19e+04    1.15e+04
SQ_RET_LAG47  1.695e+04   1.06e+04      1.599      0.110   -3821.362    3.77e+04
SQ_RET_LAG48 -1805.1364   1.03e+04     -0.176      0.861   -2.19e+04    1.83e+04
SQ_RET_LAG49  1.773e+04   1.14e+04      1.556      0.120   -4607.735    4.01e+04
SQ_RET_LAG5   2296.1036   1.02e+04      0.225      0.822   -1.77e+04    2.23e+04
SQ_RET_LAG50 -2.594e+04    1.8e+04     -1.444      0.149   -6.12e+04    9278.248
SQ_RET_LAG51  3366.4557   1.39e+04      0.241      0.809    -2.4e+04    3.07e+04
SQ_RET_LAG52 -3.688e+04   2.04e+04     -1.808      0.071   -7.69e+04    3096.588
SQ_RET_LAG53  1.639e+04   1.09e+04      1.497      0.134   -5071.225    3.78e+04
SQ_RET_LAG54 -1238.1984   1.15e+04     -0.108      0.914   -2.38e+04    2.13e+04
SQ_RET_LAG55  3458.0295   1.27e+04      0.271      0.786   -2.15e+04    2.84e+04
SQ_RET_LAG56 -4343.8888    1.3e+04     -0.335      0.738   -2.98e+04    2.11e+04
SQ_RET_LAG57  1018.7300   1.22e+04      0.083      0.934    -2.3e+04     2.5e+04
SQ_RET_LAG58  4721.6169   1.03e+04      0.459      0.647   -1.55e+04    2.49e+04
SQ_RET_LAG59  1.198e+04   9948.750      1.205      0.228   -7514.863    3.15e+04
SQ_RET_LAG6    1.12e+04   9502.205      1.178      0.239   -7426.893    2.98e+04
SQ_RET_LAG60 -2465.3551   1.18e+04     -0.209      0.835   -2.56e+04    2.07e+04
SQ_RET_LAG7   1881.7759   1.03e+04      0.183      0.855   -1.83e+04    2.21e+04
SQ_RET_LAG8   6914.1287   1.03e+04      0.674      0.500   -1.32e+04     2.7e+04
SQ_RET_LAG9   3402.0134      1e+04      0.340      0.734   -1.62e+04     2.3e+04
VIOL_LAG1        0.2786      0.115      2.426      0.015       0.054       0.504
VIOL_LAG10       0.2851      0.114      2.493      0.013       0.061       0.509
VIOL_LAG11       0.3572      0.114      3.147      0.002       0.135       0.580
VIOL_LAG12       0.2389      0.116      2.059      0.040       0.011       0.466
VIOL_LAG13       0.3876      0.114      3.405      0.001       0.165       0.611
VIOL_LAG14       0.0772      0.120      0.643      0.521      -0.158       0.313
VIOL_LAG15       0.3837      0.113      3.409      0.001       0.163       0.604
VIOL_LAG16       0.1720      0.120      1.438      0.150      -0.062       0.407
VIOL_LAG17       0.0406      0.123      0.330      0.741      -0.200       0.281
VIOL_LAG18       0.1649      0.119      1.384      0.166      -0.069       0.398
VIOL_LAG19       0.0954      0.121      0.791      0.429      -0.141       0.332
VIOL_LAG2        0.3826      0.116      3.309      0.001       0.156       0.609
VIOL_LAG20       0.2496      0.118      2.107      0.035       0.017       0.482
VIOL_LAG21       0.0401      0.122      0.329      0.742      -0.199       0.279
VIOL_LAG22       0.1239      0.122      1.017      0.309      -0.115       0.363
VIOL_LAG23      -0.0928      0.127     -0.730      0.465      -0.342       0.156
VIOL_LAG24      -0.0242      0.127     -0.190      0.849      -0.274       0.226
VIOL_LAG25       0.0926      0.122      0.757      0.449      -0.147       0.333
VIOL_LAG26       0.0125      0.123      0.102      0.919      -0.228       0.253
VIOL_LAG27       0.2282      0.119      1.916      0.055      -0.005       0.462
VIOL_LAG28      -0.1170      0.128     -0.912      0.362      -0.368       0.134
VIOL_LAG29       0.2504      0.120      2.095      0.036       0.016       0.485
VIOL_LAG3        0.2581      0.116      2.230      0.026       0.031       0.485
VIOL_LAG30       0.0874      0.124      0.703      0.482      -0.156       0.331
VIOL_LAG31       0.1597      0.123      1.300      0.194      -0.081       0.401
VIOL_LAG32      -0.0071      0.126     -0.056      0.955      -0.254       0.240
VIOL_LAG33       0.1361      0.125      1.093      0.274      -0.108       0.380
VIOL_LAG34       0.2705      0.126      2.152      0.031       0.024       0.517
VIOL_LAG35       0.1267      0.125      1.013      0.311      -0.118       0.372
VIOL_LAG36       0.0402      0.125      0.322      0.748      -0.205       0.285
VIOL_LAG37       0.0726      0.127      0.570      0.569      -0.177       0.322
VIOL_LAG38      -0.2672      0.135     -1.982      0.048      -0.531      -0.003
VIOL_LAG39       0.1527      0.127      1.205      0.228      -0.096       0.401
VIOL_LAG4        0.2919      0.114      2.551      0.011       0.068       0.516
VIOL_LAG40      -0.1528      0.132     -1.158      0.247      -0.411       0.106
VIOL_LAG41       0.0606      0.126      0.481      0.631      -0.186       0.308
VIOL_LAG42       0.2237      0.122      1.829      0.067      -0.016       0.463
VIOL_LAG43       0.1146      0.125      0.915      0.360      -0.131       0.360
VIOL_LAG44      -0.0270      0.129     -0.209      0.834      -0.279       0.225
VIOL_LAG45       0.0020      0.129      0.016      0.987      -0.250       0.254
VIOL_LAG46       0.2231      0.125      1.784      0.074      -0.022       0.468
VIOL_LAG47       0.2824      0.119      2.374      0.018       0.049       0.516
VIOL_LAG48       0.0344      0.127      0.271      0.787      -0.215       0.283
VIOL_LAG49       0.0975      0.125      0.780      0.435      -0.147       0.342
VIOL_LAG5        0.2033      0.117      1.742      0.082      -0.025       0.432
VIOL_LAG50      -0.1098      0.137     -0.800      0.424      -0.379       0.159
VIOL_LAG51       0.0403      0.130      0.311      0.756      -0.214       0.294
VIOL_LAG52      -0.0528      0.137     -0.386      0.700      -0.321       0.215
VIOL_LAG53       0.1892      0.123      1.532      0.125      -0.053       0.431
VIOL_LAG54      -0.1447      0.134     -1.077      0.281      -0.408       0.119
VIOL_LAG55       0.2296      0.124      1.850      0.064      -0.014       0.473
VIOL_LAG56       0.1200      0.128      0.940      0.347      -0.130       0.370
VIOL_LAG57       0.1109      0.127      0.875      0.382      -0.138       0.360
VIOL_LAG58       0.1434      0.124      1.157      0.247      -0.100       0.386
VIOL_LAG59      -0.0044      0.129     -0.034      0.973      -0.257       0.248
VIOL_LAG6        0.3014      0.114      2.650      0.008       0.078       0.524
VIOL_LAG60       0.1747      0.125      1.401      0.161      -0.070       0.419
VIOL_LAG7        0.3145      0.115      2.738      0.006       0.089       0.540
VIOL_LAG8        0.1257      0.119      1.053      0.292      -0.108       0.359
VIOL_LAG9        0.1182      0.119      0.990      0.322      -0.116       0.352
================================================================================
