                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15088
Model Family:                Binomial   Df Model:                           83
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3324.2
Date:                Sun, 17 Mar 2024   Deviance:                       6648.4
Time:                        19:19:32   Pearson chi2:                 2.11e+04
No. Iterations:                    17   Pseudo R-squ. (CS):            0.03711
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.3521      0.055    -60.399      0.000      -3.461      -3.243
SQ_RET_LAG1   9.503e+04   1.27e+04      7.491      0.000    7.02e+04     1.2e+05
SQ_RET_LAG10    1.8e+04   9100.582      1.978      0.048     163.713    3.58e+04
SQ_RET_LAG11  6340.0200   9310.632      0.681      0.496   -1.19e+04    2.46e+04
SQ_RET_LAG12  1.293e+04   9254.417      1.397      0.162   -5209.531    3.11e+04
SQ_RET_LAG13  8930.2774   9351.893      0.955      0.340   -9399.097    2.73e+04
SQ_RET_LAG14  8124.6500   9240.353      0.879      0.379   -9986.109    2.62e+04
SQ_RET_LAG15   2.17e+04   9068.167      2.393      0.017    3926.262    3.95e+04
SQ_RET_LAG16 -3098.9258   9548.707     -0.325      0.746   -2.18e+04    1.56e+04
SQ_RET_LAG17  1.436e+04   9569.088      1.501      0.133   -4393.110    3.31e+04
SQ_RET_LAG18  4596.3126   9213.012      0.499      0.618   -1.35e+04    2.27e+04
SQ_RET_LAG19  1.512e+04   9052.086      1.670      0.095   -2626.193    3.29e+04
SQ_RET_LAG2  -1.778e+04   1.22e+04     -1.454      0.146   -4.17e+04    6182.016
SQ_RET_LAG20  2037.1279   9447.063      0.216      0.829   -1.65e+04    2.06e+04
SQ_RET_LAG21   1.84e+04   9059.013      2.031      0.042     646.457    3.62e+04
SQ_RET_LAG22  1036.9355   9642.053      0.108      0.914   -1.79e+04    1.99e+04
SQ_RET_LAG23  1.495e+04   9449.562      1.582      0.114   -3573.454    3.35e+04
SQ_RET_LAG24  -194.5293   1.02e+04     -0.019      0.985   -2.03e+04    1.99e+04
