                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    14986
Model Family:                Binomial   Df Model:                          185
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3165.4
Date:                Sun, 17 Mar 2024   Deviance:                       6330.8
Time:                        19:21:59   Pearson chi2:                 1.43e+04
No. Iterations:                   100   Pseudo R-squ. (CS):            0.05706
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.4469      0.061    -56.282      0.000      -3.567      -3.327
SQ_RET_LAG1    7.41e+04   1.18e+04      6.289      0.000     5.1e+04    9.72e+04
SQ_RET_LAG10   1.55e+04   1.11e+04      1.398      0.162   -6225.989    3.72e+04
SQ_RET_LAG11 -5617.9417   1.26e+04     -0.447      0.655   -3.03e+04     1.9e+04
SQ_RET_LAG12  7539.0403    1.2e+04      0.627      0.531    -1.6e+04    3.11e+04
SQ_RET_LAG13 -1.091e+04   1.31e+04     -0.832      0.405   -3.66e+04    1.48e+04
SQ_RET_LAG14  1.248e+04   1.11e+04      1.125      0.260   -9254.678    3.42e+04
SQ_RET_LAG15  1.509e+04   1.08e+04      1.393      0.164   -6142.768    3.63e+04
SQ_RET_LAG16 -1.379e+04   1.24e+04     -1.112      0.266   -3.81e+04    1.05e+04
SQ_RET_LAG17  -163.5628   1.37e+04     -0.012      0.990   -2.69e+04    2.66e+04
SQ_RET_LAG18  5958.7314   1.19e+04      0.502      0.616   -1.73e+04    2.92e+04
SQ_RET_LAG19  5752.7109   1.17e+04      0.492      0.623   -1.72e+04    2.87e+04
SQ_RET_LAG2  -3.206e+04   1.47e+04     -2.187      0.029   -6.08e+04   -3324.275
SQ_RET_LAG20 -6770.8797   1.22e+04     -0.556      0.578   -3.06e+04    1.71e+04
SQ_RET_LAG21  1.278e+04   1.15e+04      1.111      0.266   -9759.776    3.53e+04
SQ_RET_LAG22 -4418.9007   1.34e+04     -0.330      0.741   -3.06e+04    2.18e+04
SQ_RET_LAG23  4857.3994   1.31e+04      0.372      0.710   -2.08e+04    3.05e+04
SQ_RET_LAG24 -1.354e+04    1.6e+04     -0.847      0.397   -4.49e+04    1.78e+04
SQ_RET_LAG25  6447.0942   1.23e+04      0.524      0.600   -1.77e+04    3.06e+04
SQ_RET_LAG26  1.503e+04   1.15e+04      1.313      0.189   -7409.797    3.75e+04
SQ_RET_LAG27  4386.1585   1.16e+04      0.378      0.706   -1.84e+04    2.71e+04
SQ_RET_LAG28  2722.2466   1.22e+04      0.223      0.824   -2.12e+04    2.67e+04
SQ_RET_LAG29  6554.3544   1.21e+04      0.540      0.589   -1.72e+04    3.03e+04
SQ_RET_LAG3    2.72e+04   1.04e+04      2.605      0.009    6736.823    4.77e+04
SQ_RET_LAG30 -9089.4721   1.48e+04     -0.616      0.538    -3.8e+04    1.98e+04
SQ_RET_LAG31 -7576.7512   1.45e+04     -0.521      0.602   -3.61e+04    2.09e+04
SQ_RET_LAG32  9503.3591   1.29e+04      0.739      0.460   -1.57e+04    3.47e+04
SQ_RET_LAG33 -9223.9548   1.48e+04     -0.624      0.533   -3.82e+04    1.97e+04
