                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15417
Model Family:                Binomial   Df Model:                           90
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2866.0
Date:                Sun, 17 Mar 2024   Deviance:                       5732.0
Time:                        19:25:35   Pearson chi2:                 1.46e+04
No. Iterations:                     6   Pseudo R-squ. (CS):            0.04677
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.6982      0.057    -64.681      0.000      -3.810      -3.586
RET_LAG1        92.9816     35.165      2.644      0.008      24.060     161.904
RET_LAG10       50.3210     34.030      1.479      0.139     -16.376     117.018
RET_LAG11       -6.1516     35.130     -0.175      0.861     -75.006      62.703
RET_LAG12       13.1398     35.515      0.370      0.711     -56.467      82.747
RET_LAG13       56.8308     33.879      1.677      0.093      -9.570     123.232
RET_LAG14       29.2979     33.961      0.863      0.388     -37.265      95.861
RET_LAG15       50.5533     36.795      1.374      0.169     -21.563     122.670
RET_LAG16       64.5320     34.598      1.865      0.062      -3.278     132.342
RET_LAG17       56.3117     36.079      1.561      0.119     -14.402     127.025
RET_LAG18       38.2358     34.293      1.115      0.265     -28.977     105.448
RET_LAG19       16.7411     36.606      0.457      0.647     -55.005      88.487
RET_LAG2        44.2586     35.695      1.240      0.215     -25.702     114.220
RET_LAG20       58.4544     37.202      1.571      0.116     -14.460     131.369
RET_LAG21       -2.0337     35.449     -0.057      0.954     -71.513      67.446
RET_LAG22        0.4999     35.973      0.014      0.989     -70.005      71.005
RET_LAG23      106.2464     36.096      2.943      0.003      35.500     176.993
RET_LAG24       15.7791     37.637      0.419      0.675     -57.988      89.546
RET_LAG25       27.1159     40.717      0.666      0.505     -52.688     106.920
RET_LAG26      -36.6696     35.976     -1.019      0.308    -107.182      33.843
RET_LAG27       77.2286     36.397      2.122      0.034       5.891     148.566
RET_LAG28       34.4752     39.681      0.869      0.385     -43.299     112.249
RET_LAG29       81.0651     40.327      2.010      0.044       2.026     160.104
RET_LAG3        42.9639     35.408      1.213      0.225     -26.435     112.362
RET_LAG30       69.7698     38.027      1.835      0.067      -4.762     144.301
RET_LAG4        72.6234     34.647      2.096      0.036       4.716     140.531
RET_LAG5        87.4836     36.395      2.404      0.016      16.152     158.816
RET_LAG6        14.7044     34.288      0.429      0.668     -52.499      81.908
RET_LAG7        24.6216     35.217      0.699      0.484     -44.402      93.645
RET_LAG8       119.1808     34.670      3.438      0.001      51.229     187.133
RET_LAG9        45.5268     35.640      1.277      0.201     -24.325     115.379
