                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15417
Model Family:                Binomial   Df Model:                           90
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2885.8
Date:                Sun, 24 Mar 2024   Deviance:                       5771.6
Time:                        21:10:13   Pearson chi2:                 1.44e+04
No. Iterations:                     7   Pseudo R-squ. (CS):            0.04433
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.6319      0.058    -63.091      0.000      -3.745      -3.519
SQ_RET_LAG1   7774.6565   3581.304      2.171      0.030     755.430    1.48e+04
SQ_RET_LAG10  2788.7169   4027.280      0.692      0.489   -5104.607    1.07e+04
SQ_RET_LAG11   890.7565   4135.826      0.215      0.829   -7215.313    8996.826
SQ_RET_LAG12  -990.7508   4860.094     -0.204      0.838   -1.05e+04    8534.859
SQ_RET_LAG13  5354.8344   3807.296      1.406      0.160   -2107.329    1.28e+04
SQ_RET_LAG14  4536.9630   3768.445      1.204      0.229   -2849.052    1.19e+04
SQ_RET_LAG15 -3974.9297   5795.756     -0.686      0.493   -1.53e+04    7384.543
SQ_RET_LAG16  4795.5756   4061.700      1.181      0.238   -3165.211    1.28e+04
SQ_RET_LAG17  -137.2721   4918.214     -0.028      0.978   -9776.795    9502.250
SQ_RET_LAG18  5626.4701   3637.658      1.547      0.122   -1503.209    1.28e+04
SQ_RET_LAG19 -2304.6674   5500.432     -0.419      0.675   -1.31e+04    8475.982
SQ_RET_LAG2   3821.1708   4034.666      0.947      0.344   -4086.630    1.17e+04
SQ_RET_LAG20  1033.3731   4524.223      0.228      0.819   -7833.940    9900.686
SQ_RET_LAG21  6700.4472   3535.445      1.895      0.058    -228.898    1.36e+04
SQ_RET_LAG22   571.5421   4460.731      0.128      0.898   -8171.330    9314.414
SQ_RET_LAG23  5082.8668   3574.447      1.422      0.155   -1922.921    1.21e+04
SQ_RET_LAG24 -3869.7485   5831.597     -0.664      0.507   -1.53e+04    7559.971
SQ_RET_LAG25 -4233.1306   5968.304     -0.709      0.478   -1.59e+04    7464.530
SQ_RET_LAG26  6407.8369   3546.623      1.807      0.071    -543.416    1.34e+04
SQ_RET_LAG27  2697.2530   4287.706      0.629      0.529   -5706.496    1.11e+04
SQ_RET_LAG28 -2836.0632   6253.936     -0.453      0.650   -1.51e+04    9421.426
SQ_RET_LAG29 -3216.4551   6594.737     -0.488      0.626   -1.61e+04    9708.993
SQ_RET_LAG3   3956.8343   3807.566      1.039      0.299   -3505.858    1.14e+04
SQ_RET_LAG30  3654.9517   3970.342      0.921      0.357   -4126.776    1.14e+04
SQ_RET_LAG4   7268.4643   3488.655      2.083      0.037     430.826    1.41e+04
SQ_RET_LAG5   2300.9534   4280.985      0.537      0.591   -6089.623    1.07e+04
SQ_RET_LAG6   7410.8984   3490.362      2.123      0.034     569.915    1.43e+04
SQ_RET_LAG7   8760.3590   3699.817      2.368      0.018    1508.852     1.6e+04
SQ_RET_LAG8   5238.8558   3518.697      1.489      0.137   -1657.664    1.21e+04
SQ_RET_LAG9   5733.8861   3721.130      1.541      0.123   -1559.394     1.3e+04
VIOL_LAG1        0.5976      0.117      5.103      0.000       0.368       0.827
VIOL_LAG10       0.1692      0.130      1.298      0.194      -0.086       0.425
