                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15327
Model Family:                Binomial   Df Model:                          180
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2820.7
Date:                Sun, 24 Mar 2024   Deviance:                       5641.5
Time:                        21:10:44   Pearson chi2:                 1.44e+04
No. Iterations:                     9   Pseudo R-squ. (CS):            0.05231
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.7177      0.063    -59.084      0.000      -3.841      -3.594
SQ_RET_LAG1   8170.9449   3590.244      2.276      0.023    1134.196    1.52e+04
SQ_RET_LAG10  3937.0181   3998.518      0.985      0.325   -3899.933    1.18e+04
SQ_RET_LAG11  1031.7913   4258.253      0.242      0.809   -7314.232    9377.814
SQ_RET_LAG12 -1487.8867   5072.319     -0.293      0.769   -1.14e+04    8453.676
SQ_RET_LAG13  5361.5035   3791.498      1.414      0.157   -2069.696    1.28e+04
SQ_RET_LAG14  5139.4313   3718.393      1.382      0.167   -2148.485    1.24e+04
SQ_RET_LAG15 -3798.1740   6061.664     -0.627      0.531   -1.57e+04    8082.469
SQ_RET_LAG16  4473.6987   4221.146      1.060      0.289   -3799.595    1.27e+04
SQ_RET_LAG17   322.3701   5007.200      0.064      0.949   -9491.562    1.01e+04
SQ_RET_LAG18  6116.5277   3676.403      1.664      0.096   -1089.090    1.33e+04
SQ_RET_LAG19 -3003.4779   6060.408     -0.496      0.620   -1.49e+04    8874.704
SQ_RET_LAG2   3737.6571   4168.069      0.897      0.370   -4431.608    1.19e+04
SQ_RET_LAG20  2057.8271   4730.894      0.435      0.664   -7214.555    1.13e+04
SQ_RET_LAG21  7815.1897   3623.926      2.157      0.031     712.425    1.49e+04
SQ_RET_LAG22   449.8946   4318.880      0.104      0.917   -8014.955    8914.745
SQ_RET_LAG23  5903.2782   3653.010      1.616      0.106   -1256.490    1.31e+04
SQ_RET_LAG24 -4027.8470   6465.634     -0.623      0.533   -1.67e+04    8644.563
SQ_RET_LAG25 -5804.8645   7187.425     -0.808      0.419   -1.99e+04    8282.229
SQ_RET_LAG26  6398.7489   3600.959      1.777      0.076    -659.001    1.35e+04
SQ_RET_LAG27  2986.7368   4527.073      0.660      0.509   -5886.164    1.19e+04
SQ_RET_LAG28 -4532.4520   7581.811     -0.598      0.550   -1.94e+04    1.03e+04
SQ_RET_LAG29 -6293.8691   8163.505     -0.771      0.441   -2.23e+04    9706.307
SQ_RET_LAG3   3859.7403   3951.722      0.977      0.329   -3885.492    1.16e+04
SQ_RET_LAG30  3554.0119   4541.638      0.783      0.434   -5347.434    1.25e+04
SQ_RET_LAG31  -632.3081   5799.856     -0.109      0.913    -1.2e+04    1.07e+04
SQ_RET_LAG32 -1006.0355   5996.425     -0.168      0.867   -1.28e+04    1.07e+04
SQ_RET_LAG33  2005.5476   5348.468      0.375      0.708   -8477.257    1.25e+04
SQ_RET_LAG34 -1586.7140   7497.344     -0.212      0.832   -1.63e+04    1.31e+04
SQ_RET_LAG35  8023.8123   3747.574      2.141      0.032     678.703    1.54e+04
SQ_RET_LAG36  5910.1748   3596.372      1.643      0.100   -1138.584     1.3e+04
SQ_RET_LAG37  6601.1853   4055.856      1.628      0.104   -1348.146    1.46e+04
SQ_RET_LAG38  3958.8261   3689.277      1.073      0.283   -3272.024    1.12e+04
SQ_RET_LAG39 -3501.2320   6126.270     -0.572      0.568   -1.55e+04    8506.037
SQ_RET_LAG4   7960.2323   3529.054      2.256      0.024    1043.414    1.49e+04
SQ_RET_LAG40  5158.0097   3758.582      1.372      0.170   -2208.675    1.25e+04
SQ_RET_LAG41 -3762.6328   6083.169     -0.619      0.536   -1.57e+04    8160.160
SQ_RET_LAG42  1788.9696   4656.029      0.384      0.701   -7336.679    1.09e+04
SQ_RET_LAG43  3208.1733   4269.139      0.751      0.452   -5159.185    1.16e+04
SQ_RET_LAG44  3271.0626   4302.176      0.760      0.447   -5161.047    1.17e+04
SQ_RET_LAG45  3185.7409   4456.654      0.715      0.475   -5549.141    1.19e+04
SQ_RET_LAG46 -3861.8399   6227.454     -0.620      0.535   -1.61e+04    8343.745
SQ_RET_LAG47  4904.7628   4089.217      1.199      0.230   -3109.954    1.29e+04
SQ_RET_LAG48 -6042.8441   7234.097     -0.835      0.404   -2.02e+04    8135.726
SQ_RET_LAG49  1163.3077   5459.865      0.213      0.831   -9537.830    1.19e+04
SQ_RET_LAG5   2374.8189   4409.767      0.539      0.590   -6268.165     1.1e+04
SQ_RET_LAG50  1179.5361   4464.020      0.264      0.792   -7569.783    9928.855
SQ_RET_LAG51  4028.0435   4510.715      0.893      0.372   -4812.795    1.29e+04
SQ_RET_LAG52 -2.052e+04   1.16e+04     -1.765      0.078   -4.33e+04    2270.457
SQ_RET_LAG53  -861.2180   6896.654     -0.125      0.901   -1.44e+04    1.27e+04
SQ_RET_LAG54  -444.9663   4979.842     -0.089      0.929   -1.02e+04    9315.344
SQ_RET_LAG55   450.7093   4798.644      0.094      0.925   -8954.461    9855.880
SQ_RET_LAG56  2429.0574   5770.542      0.421      0.674   -8880.998    1.37e+04
SQ_RET_LAG57  5281.6417   4144.433      1.274      0.203   -2841.297    1.34e+04
SQ_RET_LAG58  2880.2908   4733.210      0.609      0.543   -6396.630    1.22e+04
SQ_RET_LAG59  3448.8076   3687.413      0.935      0.350   -3778.390    1.07e+04
SQ_RET_LAG6   8001.8459   3540.239      2.260      0.024    1063.105    1.49e+04
SQ_RET_LAG60  5677.5368   3526.685      1.610      0.107   -1234.640    1.26e+04
SQ_RET_LAG7   9145.5154   3694.033      2.476      0.013    1905.343    1.64e+04
SQ_RET_LAG8   5965.5012   3510.048      1.700      0.089    -914.066    1.28e+04
SQ_RET_LAG9   6174.8924   3708.019      1.665      0.096   -1092.692    1.34e+04
VIOL_LAG1        0.5739      0.120      4.779      0.000       0.339       0.809
VIOL_LAG10       0.1190      0.133      0.891      0.373      -0.143       0.381
VIOL_LAG11      -0.0819      0.141     -0.581      0.561      -0.358       0.194
VIOL_LAG12       0.1366      0.135      1.011      0.312      -0.128       0.402
VIOL_LAG13       0.0350      0.136      0.258      0.796      -0.231       0.301
VIOL_LAG14       0.1197      0.134      0.894      0.371      -0.143       0.382
VIOL_LAG15       0.1558      0.137      1.136      0.256      -0.113       0.425
VIOL_LAG16       0.0765      0.137      0.557      0.578      -0.193       0.346
VIOL_LAG17       0.3218      0.132      2.447      0.014       0.064       0.580
VIOL_LAG18       0.3254      0.130      2.506      0.012       0.071       0.580
VIOL_LAG19       0.1606      0.137      1.174      0.240      -0.107       0.429
VIOL_LAG2        0.3443      0.126      2.732      0.006       0.097       0.591
VIOL_LAG20       0.2880      0.132      2.174      0.030       0.028       0.548
VIOL_LAG21      -0.0018      0.139     -0.013      0.990      -0.274       0.270
VIOL_LAG22      -0.0704      0.144     -0.488      0.626      -0.353       0.212
VIOL_LAG23      -0.2050      0.147     -1.393      0.164      -0.493       0.083
VIOL_LAG24      -0.0657      0.147     -0.447      0.655      -0.354       0.222
VIOL_LAG25      -0.0496      0.149     -0.333      0.739      -0.341       0.242
VIOL_LAG26      -0.0306      0.143     -0.214      0.831      -0.311       0.250
VIOL_LAG27      -0.1133      0.148     -0.766      0.444      -0.403       0.177
VIOL_LAG28       0.0820      0.147      0.558      0.577      -0.206       0.370
VIOL_LAG29       0.3081      0.139      2.212      0.027       0.035       0.581
VIOL_LAG3        0.5312      0.121      4.402      0.000       0.295       0.768
VIOL_LAG30      -0.0577      0.146     -0.394      0.694      -0.345       0.229
VIOL_LAG31       0.3044      0.139      2.193      0.028       0.032       0.577
VIOL_LAG32       0.2689      0.138      1.951      0.051      -0.001       0.539
VIOL_LAG33       0.0824      0.143      0.577      0.564      -0.197       0.362
VIOL_LAG34      -0.0769      0.151     -0.511      0.610      -0.372       0.218
VIOL_LAG35      -0.0674      0.145     -0.465      0.642      -0.352       0.217
VIOL_LAG36       0.1756      0.138      1.268      0.205      -0.096       0.447
VIOL_LAG37       0.1561      0.140      1.118      0.263      -0.117       0.430
VIOL_LAG38       0.2574      0.136      1.890      0.059      -0.010       0.524
VIOL_LAG39       0.1349      0.143      0.943      0.346      -0.146       0.415
VIOL_LAG4        0.2394      0.128      1.877      0.060      -0.011       0.489
VIOL_LAG40      -0.3850      0.160     -2.412      0.016      -0.698      -0.072
VIOL_LAG41       0.4881      0.134      3.633      0.000       0.225       0.751
VIOL_LAG42       0.1142      0.144      0.791      0.429      -0.169       0.397
VIOL_LAG43      -0.2542      0.157     -1.620      0.105      -0.562       0.053
VIOL_LAG44       0.2370      0.140      1.691      0.091      -0.038       0.512
VIOL_LAG45       0.1224      0.144      0.851      0.395      -0.159       0.404
VIOL_LAG46       0.1451      0.146      0.995      0.320      -0.141       0.431
VIOL_LAG47      -0.0289      0.148     -0.195      0.845      -0.319       0.261
VIOL_LAG48       0.1117      0.148      0.753      0.451      -0.179       0.402
VIOL_LAG49      -0.0696      0.151     -0.462      0.644      -0.365       0.226
VIOL_LAG5        0.2894      0.128      2.264      0.024       0.039       0.540
VIOL_LAG50       0.2871      0.138      2.073      0.038       0.016       0.559
VIOL_LAG51       0.1933      0.142      1.358      0.174      -0.086       0.472
VIOL_LAG52       0.2816      0.148      1.903      0.057      -0.008       0.572
VIOL_LAG53       0.1238      0.147      0.843      0.399      -0.164       0.412
VIOL_LAG54       0.0399      0.148      0.269      0.788      -0.251       0.331
VIOL_LAG55       0.0648      0.147      0.440      0.660      -0.224       0.354
VIOL_LAG56       0.0666      0.146      0.456      0.648      -0.219       0.353
VIOL_LAG57       0.0926      0.147      0.631      0.528      -0.195       0.380
VIOL_LAG58       0.0377      0.149      0.253      0.801      -0.255       0.330
VIOL_LAG59       0.3255      0.138      2.357      0.018       0.055       0.596
VIOL_LAG6        0.2531      0.128      1.978      0.048       0.002       0.504
VIOL_LAG60      -0.1023      0.152     -0.672      0.502      -0.401       0.196
VIOL_LAG7        0.2585      0.128      2.017      0.044       0.007       0.510
VIOL_LAG8        0.0062      0.136      0.045      0.964      -0.260       0.272
VIOL_LAG9        0.2061      0.128      1.604      0.109      -0.046       0.458
VOL_LAG1      4.155e-07   8.49e-08      4.895      0.000    2.49e-07    5.82e-07
VOL_LAG10     2.443e-07   1.12e-07      2.184      0.029    2.51e-08    4.64e-07
VOL_LAG11    -2.113e-07   2.37e-07     -0.890      0.373   -6.76e-07    2.54e-07
VOL_LAG12     8.705e-08   1.49e-07      0.583      0.560   -2.05e-07     3.8e-07
VOL_LAG13      1.47e-07   1.42e-07      1.036      0.300   -1.31e-07    4.25e-07
VOL_LAG14    -1.075e-07    2.2e-07     -0.489      0.625   -5.38e-07    3.23e-07
VOL_LAG15     9.477e-08   1.65e-07      0.575      0.565   -2.28e-07    4.18e-07
