                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15327
Model Family:                Binomial   Df Model:                          180
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2831.4
Date:                Sun, 24 Mar 2024   Deviance:                       5662.7
Time:                        21:05:28   Pearson chi2:                 1.46e+04
No. Iterations:                     6   Pseudo R-squ. (CS):            0.05101
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.7048      0.060    -62.197      0.000      -3.822      -3.588
SQ_RET_LAG1   9484.3235   3556.184      2.667      0.008    2514.331    1.65e+04
SQ_RET_LAG10  3950.6711   3767.386      1.049      0.294   -3433.270    1.13e+04
SQ_RET_LAG11  1536.4605   4225.087      0.364      0.716   -6744.558    9817.479
SQ_RET_LAG12  -936.2800   4887.026     -0.192      0.848   -1.05e+04    8642.115
SQ_RET_LAG13  6158.8322   3643.801      1.690      0.091    -982.887    1.33e+04
SQ_RET_LAG14  5401.6130   3810.434      1.418      0.156   -2066.701    1.29e+04
SQ_RET_LAG15 -3671.4682   5733.868     -0.640      0.522   -1.49e+04    7566.706
SQ_RET_LAG16  3688.3284   4197.165      0.879      0.380   -4537.963    1.19e+04
SQ_RET_LAG17   -67.8211   4864.430     -0.014      0.989   -9601.929    9466.287
SQ_RET_LAG18  6435.5402   3739.465      1.721      0.085    -893.676    1.38e+04
SQ_RET_LAG19 -3249.5057   5974.724     -0.544      0.587    -1.5e+04    8460.738
SQ_RET_LAG2   4222.1222   4178.584      1.010      0.312   -3967.753    1.24e+04
SQ_RET_LAG20  2678.0214   4318.686      0.620      0.535   -5786.448    1.11e+04
SQ_RET_LAG21  7407.1343   3555.855      2.083      0.037     437.787    1.44e+04
SQ_RET_LAG22   349.3228   4462.100      0.078      0.938   -8396.233    9094.878
SQ_RET_LAG23  6316.6311   3633.831      1.738      0.082    -805.547    1.34e+04
SQ_RET_LAG24 -3116.8941   5751.003     -0.542      0.588   -1.44e+04    8154.864
SQ_RET_LAG25 -5204.3645   7187.022     -0.724      0.469   -1.93e+04    8881.941
SQ_RET_LAG26  6183.9128   3581.990      1.726      0.084    -836.658    1.32e+04
SQ_RET_LAG27  1892.8446   3965.840      0.477      0.633   -5880.060    9665.749
SQ_RET_LAG28 -6061.4916   7687.781     -0.788      0.430   -2.11e+04    9006.282
SQ_RET_LAG29 -5480.3329   7982.594     -0.687      0.492   -2.11e+04    1.02e+04
