                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15327
Model Family:                Binomial   Df Model:                          180
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2896.9
Date:                Sun, 17 Mar 2024   Deviance:                       5793.9
Time:                        19:25:18   Pearson chi2:                 1.41e+04
No. Iterations:                    18   Pseudo R-squ. (CS):            0.04295
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
Intercept       -3.5079      0.064    -54.485      0.000      -3.634      -3.382
SQ_RET_LAG1   1.223e+04   4319.592      2.830      0.005    3759.640    2.07e+04
SQ_RET_LAG10  6741.8100   3620.137      1.862      0.063    -353.529    1.38e+04
SQ_RET_LAG11  3555.4544   3695.126      0.962      0.336   -3686.859    1.08e+04
SQ_RET_LAG12  3530.3509   3649.083      0.967      0.333   -3621.720    1.07e+04
SQ_RET_LAG13  7926.4001   3649.586      2.172      0.030     773.343    1.51e+04
SQ_RET_LAG14  7221.6661   3553.868      2.032      0.042     256.212    1.42e+04
SQ_RET_LAG15  1543.0091   4494.183      0.343      0.731   -7265.429    1.04e+04
SQ_RET_LAG16  6069.2965   3546.554      1.711      0.087    -881.821     1.3e+04
SQ_RET_LAG17  4956.5970   3694.216      1.342      0.180   -2283.934    1.22e+04
SQ_RET_LAG18  7875.7094   3693.878      2.132      0.033     635.842    1.51e+04
SQ_RET_LAG19  2113.4026   4152.629      0.509      0.611   -6025.600    1.03e+04
SQ_RET_LAG2   6387.6122   3539.449      1.805      0.071    -549.579    1.33e+04
SQ_RET_LAG20  4779.4730   3641.861      1.312      0.189   -2358.442    1.19e+04
SQ_RET_LAG21  8491.0646   3652.604      2.325      0.020    1332.093    1.57e+04
SQ_RET_LAG22  3360.3333   3737.229      0.899      0.369   -3964.500    1.07e+04
SQ_RET_LAG23  7206.7504   3516.806      2.049      0.040     313.938    1.41e+04
SQ_RET_LAG24   739.3812   4629.245      0.160      0.873   -8333.773    9812.535
SQ_RET_LAG25 -2270.9592   5854.899     -0.388      0.698   -1.37e+04    9204.432
SQ_RET_LAG26  7877.2176   3533.659      2.229      0.026     951.372    1.48e+04
SQ_RET_LAG27  4446.7036   4001.866      1.111      0.267   -3396.810    1.23e+04
SQ_RET_LAG28 -1602.3864   6302.030     -0.254      0.799    -1.4e+04    1.07e+04
SQ_RET_LAG29    55.5211   5380.436      0.010      0.992   -1.05e+04    1.06e+04
SQ_RET_LAG3   7551.9354   3756.260      2.010      0.044     189.800    1.49e+04
SQ_RET_LAG30  4352.3357   3887.346      1.120      0.263   -3266.722     1.2e+04
SQ_RET_LAG31  2687.4536   4318.834      0.622      0.534   -5777.305    1.12e+04
